frame_id,timestamp(ns),T_imu_wrt_vio_x(m),T_imu_wrt_vio_y(m),T_imu_wrt_vio_z(m),roll(rad),pitch(rad),yaw(rad)
0,93967399251,0.0044,-0.0005,-0.1023,0.0239,0.0336,0.0177
1,93993735706,0.0045,-0.0006,-0.1023,0.0242,0.0337,0.0219
2,94028864205,0.0048,-0.0004,-0.1019,0.0246,0.0338,0.0267
3,94064002940,0.0051,0.0002,-0.1011,0.0255,0.0338,0.0298
4,94099101122,0.0054,0.0010,-0.1002,0.0257,0.0343,0.0319
5,94134255899,0.0059,0.0021,-0.0992,0.0260,0.0344,0.0332
6,94160583419,0.0061,0.0030,-0.0985,0.0257,0.0347,0.0336
7,94195694015,0.0062,0.0040,-0.0978,0.0254,0.0351,0.0341
8,94230802058,0.0068,0.0049,-0.0974,0.0256,0.0350,0.0343
9,94265927206,0.0070,0.0054,-0.0971,0.0253,0.0352,0.0345
10,94301048368,0.0075,0.0059,-0.0970,0.0257,0.0350,0.0346
11,94327385056,0.0074,0.0059,-0.0971,0.0255,0.0348,0.0346
12,94362494309,0.0075,0.0055,-0.0973,0.0255,0.0346,0.0346
13,94397613419,0.0076,0.0060,-0.0972,0.0255,0.0344,0.0346
14,94432729921,0.0080,0.0060,-0.0972,0.0260,0.0343,0.0347
15,94467875225,0.0076,0.0058,-0.0973,0.0249,0.0343,0.0347
16,94494203419,0.0077,0.0056,-0.0974,0.0254,0.0340,0.0347
17,94529316323,0.0078,0.0059,-0.0974,0.0252,0.0341,0.0347
18,94564413093,0.0073,0.0051,-0.0976,0.0243,0.0340,0.0347
19,94599517861,0.0071,0.0046,-0.0976,0.0240,0.0340,0.0346
20,94634623709,0.0067,0.0044,-0.0977,0.0230,0.0342,0.0346
21,94660954300,0.0065,0.0044,-0.0978,0.0230,0.0341,0.0345
22,94696179147,0.0064,0.0043,-0.0976,0.0229,0.0342,0.0345
23,94731307710,0.0066,0.0043,-0.0976,0.0241,0.0340,0.0345
24,94766410437,0.0063,0.0042,-0.0976,0.0236,0.0340,0.0345
25,94801511696,0.0060,0.0043,-0.0977,0.0236,0.0340,0.0345
26,94827843518,0.0063,0.0043,-0.0977,0.0249,0.0338,0.0344
27,94862938129,0.0061,0.0044,-0.0978,0.0248,0.0338,0.0344
28,94898058523,0.0062,0.0041,-0.0975,0.0255,0.0337,0.0344
29,94933175939,0.0064,0.0042,-0.0974,0.0267,0.0335,0.0344
30,94968284564,0.0061,0.0043,-0.0975,0.0266,0.0335,0.0344
31,94994611534,0.0060,0.0042,-0.0974,0.0267,0.0334,0.0344
32,95029712170,0.0061,0.0043,-0.0974,0.0278,0.0333,0.0343
33,95064905570,0.0058,0.0042,-0.0974,0.0276,0.0333,0.0342
34,95100035560,0.0059,0.0041,-0.0974,0.0287,0.0330,0.0342
35,95135178444,0.0056,0.0042,-0.0975,0.0285,0.0330,0.0342
36,95161505959,0.0058,0.0042,-0.0975,0.0295,0.0328,0.0342
37,95196613383,0.0055,0.0042,-0.0976,0.0295,0.0328,0.0341
38,95231709717,0.0058,0.0043,-0.0974,0.0309,0.0326,0.0341
39,95266826484,0.0056,0.0042,-0.0973,0.0310,0.0325,0.0341
40,95301946522,0.0057,0.0043,-0.0973,0.0321,0.0323,0.0342
41,95328282522,0.0056,0.0042,-0.0973,0.0323,0.0322,0.0341
42,95363387953,0.0057,0.0041,-0.0973,0.0335,0.0319,0.0341
43,95398499177,0.0054,0.0041,-0.0974,0.0334,0.0319,0.0341
44,95433614765,0.0057,0.0041,-0.0973,0.0349,0.0315,0.0340
45,95468714376,0.0054,0.0042,-0.0974,0.0348,0.0316,0.0340
46,95495043834,0.0058,0.0041,-0.0973,0.0362,0.0313,0.0340
47,95530170562,0.0060,0.0043,-0.0972,0.0374,0.0311,0.0340
48,95565289766,0.0058,0.0042,-0.0973,0.0374,0.0311,0.0340
49,95600392694,0.0055,0.0043,-0.0974,0.0374,0.0310,0.0339
50,95635502057,0.0057,0.0044,-0.0973,0.0383,0.0308,0.0339
51,95661865765,0.0060,0.0043,-0.0973,0.0394,0.0305,0.0339
52,95696984658,0.0058,0.0042,-0.0974,0.0395,0.0303,0.0338
53,95732092196,0.0060,0.0043,-0.0974,0.0404,0.0302,0.0338
54,95767210408,0.0058,0.0043,-0.0975,0.0405,0.0301,0.0338
55,95793546152,0.0056,0.0043,-0.0975,0.0405,0.0301,0.0337
56,95828648711,0.0058,0.0044,-0.0975,0.0414,0.0299,0.0337
57,95863814448,0.0055,0.0043,-0.0975,0.0414,0.0298,0.0337
58,95898931096,0.0057,0.0042,-0.0975,0.0423,0.0297,0.0336
59,95925260383,0.0055,0.0043,-0.0975,0.0422,0.0296,0.0336
60,95960423744,0.0056,0.0043,-0.0975,0.0430,0.0294,0.0336
61,95995536337,0.0057,0.0041,-0.0975,0.0438,0.0292,0.0336
62,96030665436,0.0055,0.0042,-0.0975,0.0440,0.0291,0.0336
63,96065790738,0.0055,0.0041,-0.0975,0.0445,0.0290,0.0336
64,96100921559,0.0054,0.0041,-0.0975,0.0446,0.0290,0.0336
65,96127261972,0.0051,0.0041,-0.0976,0.0446,0.0289,0.0335
66,96162392850,0.0054,0.0041,-0.0974,0.0457,0.0287,0.0336
67,96197508972,0.0054,0.0040,-0.0975,0.0463,0.0286,0.0336
68,96232611907,0.0051,0.0041,-0.0975,0.0462,0.0286,0.0336
69,96267718980,0.0051,0.0041,-0.0975,0.0465,0.0284,0.0336
70,96294048285,0.0053,0.0041,-0.0974,0.0472,0.0282,0.0337
71,96329188880,0.0050,0.0041,-0.0975,0.0472,0.0282,0.0336
72,96364292000,0.0055,0.0041,-0.0974,0.0483,0.0279,0.0336
73,96399403543,0.0053,0.0041,-0.0975,0.0482,0.0279,0.0336
74,96434510066,0.0055,0.0040,-0.0974,0.0489,0.0277,0.0336
75,96460841584,0.0053,0.0041,-0.0975,0.0488,0.0277,0.0336
76,96495950591,0.0051,0.0041,-0.0976,0.0487,0.0276,0.0335
77,96531050433,0.0053,0.0041,-0.0974,0.0495,0.0275,0.0335
78,96557406649,0.0054,0.0041,-0.0975,0.0498,0.0274,0.0336
79,96601367039,0.0052,0.0041,-0.0975,0.0500,0.0273,0.0335
80,96627700599,0.0053,0.0040,-0.0975,0.0505,0.0271,0.0335
81,96662853285,0.0052,0.0040,-0.0975,0.0506,0.0271,0.0336
82,96697981550,0.0056,0.0040,-0.0974,0.0514,0.0269,0.0336
83,96733076285,0.0053,0.0040,-0.0975,0.0513,0.0269,0.0336
84,96768181567,0.0056,0.0040,-0.0975,0.0519,0.0267,0.0336
85,96794521522,0.0054,0.0041,-0.0976,0.0518,0.0266,0.0335
86,96829633831,0.0055,0.0041,-0.0975,0.0523,0.0266,0.0335
87,96864743243,0.0057,0.0040,-0.0973,0.0528,0.0264,0.0335
88,96899858533,0.0055,0.0041,-0.0974,0.0527,0.0264,0.0335
89,96934988406,0.0053,0.0041,-0.0975,0.0526,0.0263,0.0334
90,96961344011,0.0054,0.0041,-0.0975,0.0530,0.0262,0.0334
91,96996469815,0.0052,0.0041,-0.0976,0.0531,0.0262,0.0333
92,97031571478,0.0053,0.0042,-0.0975,0.0536,0.0260,0.0333
93,97057906872,0.0052,0.0041,-0.0976,0.0536,0.0260,0.0332
94,97093074750,0.0052,0.0041,-0.0976,0.0538,0.0259,0.0333
95,97128208186,0.0054,0.0041,-0.0975,0.0544,0.0258,0.0333
96,97163326016,0.0053,0.0041,-0.0976,0.0543,0.0258,0.0332
97,97198439042,0.0054,0.0041,-0.0975,0.0547,0.0257,0.0332
98,97233540344,0.0052,0.0041,-0.0975,0.0548,0.0257,0.0332
99,97268650867,0.0049,0.0041,-0.0976,0.0547,0.0256,0.0331
100,97294990939,0.0049,0.0040,-0.0976,0.0550,0.0255,0.0330
101,97330104329,0.0048,0.0041,-0.0977,0.0550,0.0254,0.0330
102,97365247584,0.0050,0.0042,-0.0976,0.0555,0.0253,0.0331
103,97400354970,0.0050,0.0041,-0.0976,0.0557,0.0252,0.0331
